2024-08-28 00:13:35.009 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 00:13:35.009 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:13:35.013 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 00:13:45.024 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:13:45.024 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 00:13:45.024 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:13:45.027 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 00:13:55.033 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:13:55.033 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 00:13:55.033 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:13:55.039 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:06:14.167 +08:00 [INF] Main (StartingAsync) | Starting at: 8/28/2024 10:06:14 PM +08:00
2024-08-28 22:06:14.181 +08:00 [INF] Main (StartAsync) | Start at: 8/28/2024 10:06:14 PM +08:00
2024-08-28 22:06:14.182 +08:00 [INF] Main (StartedAsync) | Started at: 8/28/2024 10:06:14 PM +08:00
2024-08-28 22:06:14.182 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:06:14.182 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-28 22:06:14.182 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:06:15.075 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-28 22:06:15.075 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:06:15.075 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:06:15.075 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:06:15.144 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:06:25.145 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:06:25.145 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:06:25.145 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:06:25.150 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:06:35.153 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:06:35.153 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:06:35.153 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:06:35.157 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:06:45.158 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:06:45.158 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:06:45.158 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:06:45.162 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:06:55.167 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:06:55.167 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:06:55.167 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:06:55.171 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:07:05.178 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:07:05.178 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:07:05.178 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:07:05.181 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:07:15.182 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:07:15.182 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-28 22:07:15.182 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:07:15.184 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-28 22:07:15.184 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:07:15.184 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:07:15.184 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:07:15.189 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:07:25.193 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:07:25.193 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:07:25.193 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:07:25.197 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:07:35.204 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:07:35.205 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:07:35.205 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:07:35.208 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:07:45.220 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:07:45.220 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:07:45.220 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:07:45.223 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:07:55.231 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:07:55.231 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:07:55.231 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:07:55.234 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:08:05.248 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:08:05.248 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:08:05.248 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:08:05.251 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:08:15.258 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:08:15.258 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
